token,class,count
しょう,SSI_low,1
しょうが,SSI_high,1
しょうが,SSI_low,0
しよう,SSI_high,1
しよう,SSI_low,1
しんど,SSI_high,0
しんど,SSI_low,1
しんどい,SSI_high,1
しんどい,SSI_low,9
しんどく,SSI_high,0
しんどく,SSI_low,1
じまい,SSI_high,0
じまい,SSI_low,1
すごい,SSI_high,1
すごい,SSI_low,0
すごく,SSI_high,2
すごく,SSI_low,0
すっごく,SSI_high,1
すっごく,SSI_low,0
すべて,SSI_high,0
すべて,SSI_low,1
すむーず,SSI_high,1
すむーず,SSI_low,0
すり合わせ,SSI_high,1
すり合わせ,SSI_low,0
せい,SSI_high,0
せい,SSI_low,3
そう,SSI_high,7
そう,SSI_low,15
そうだ,SSI_high,0
そうだ,SSI_low,2
そこ,SSI_high,1
そこ,SSI_low,2
そのため,SSI_high,1
そのため,SSI_low,1
その後,SSI_high,3
その後,SSI_low,3
それぞれ,SSI_high,2
それぞれ,SSI_low,1
それなり,SSI_high,1
それなり,SSI_low,1
たくさん,SSI_high,1
たくさん,SSI_low,3
ただ,SSI_high,1
ただ,SSI_low,0
たち,SSI_high,0
たち,SSI_low,2
たのしかっ,SSI_high,1
たのしかっ,SSI_low,0
たま,SSI_high,1
たま,SSI_low,3
だし,SSI_high,1
だし,SSI_low,0
だめ,SSI_high,0
だめ,SSI_low,1
だらけ,SSI_high,0
だらけ,SSI_low,1
ちく,SSI_high,0
ちく,SSI_low,1
ちゃん,SSI_high,1
ちゃん,SSI_low,0
ちゃんぽん,SSI_high,1
ちゃんぽん,SSI_low,0
っぱなし,SSI_high,1
っぱなし,SSI_low,0
っぽ,SSI_high,0
っぽ,SSI_low,1
つかれ,SSI_high,0
つかれ,SSI_low,1
つながり,SSI_high,0
つながり,SSI_low,1
つぶやき,SSI_high,0
つぶやき,SSI_low,1
つめ,SSI_high,0
つめ,SSI_low,1
つもり,SSI_high,0
つもり,SSI_low,1
つらい,SSI_high,0
つらい,SSI_low,3
つらかっ,SSI_high,0
つらかっ,SSI_low,2
づくり,SSI_high,0
づくり,SSI_low,2
づらく,SSI_high,0
づらく,SSI_low,1
てつじ,SSI_high,1
てつじ,SSI_low,0
てにをは,SSI_high,0
てにをは,SSI_low,1
でんや,SSI_high,1
でんや,SSI_low,0
とき,SSI_high,2
とき,SSI_low,2
とたん,SSI_high,0
とたん,SSI_low,1
とてつもなく,SSI_high,0
とてつもなく,SSI_low,1
とはいえ,SSI_high,0
とはいえ,SSI_low,1
とも,SSI_high,1
とも,SSI_low,1
どこ,SSI_high,0
どこ,SSI_low,1
どこか,SSI_high,0
どこか,SSI_low,2
どれ,SSI_high,0
どれ,SSI_low,3
な,SSI_high,0
な,SSI_low,1
ない,SSI_high,10
ない,SSI_low,19
ないか,SSI_high,1
ないか,SSI_low,0
ないと,SSI_high,0
ないと,SSI_low,1
ない所,SSI_high,0
ない所,SSI_low,1
なか,SSI_high,1
なか,SSI_low,0
なかっ,SSI_high,0
なかっ,SSI_low,3
なく,SSI_high,6
なく,SSI_low,10
なけれ,SSI_high,0
なけれ,SSI_low,1
なし,SSI_high,0
なし,SSI_low,2
なに,SSI_high,1
なに,SSI_low,0
なにわ男子,SSI_high,0
なにわ男子,SSI_low,1
なのか,SSI_high,0
なのか,SSI_low,1
ならでは,SSI_high,1
ならでは,SSI_low,0
なるし,SSI_high,0
なるし,SSI_low,1
なん,SSI_high,0
なん,SSI_low,2
なんだろう,SSI_high,1
なんだろう,SSI_low,0
なんとか,SSI_high,0
なんとか,SSI_low,1
にくい,SSI_high,0
にくい,SSI_low,1
にくたらしかっ,SSI_high,0
にくたらしかっ,SSI_low,1
の,SSI_high,19
の,SSI_low,46
はじまり、,SSI_high,0
はじまり、,SSI_low,1
はず,SSI_high,0
はず,SSI_low,2
はと,SSI_high,1
はと,SSI_low,0
はやい,SSI_high,0
はやい,SSI_low,1
はやく,SSI_high,0
はやく,SSI_low,1
はらいそ,SSI_high,0
はらいそ,SSI_low,3
はらわた,SSI_high,1
はらわた,SSI_low,0
ばる,SSI_high,1
ばる,SSI_low,0
ぱつい,SSI_high,0
ぱつい,SSI_low,1
ひじ,SSI_high,0
ひじ,SSI_low,1
ひたすらに,SSI_high,1
ひたすらに,SSI_low,0
ひとり,SSI_high,0
ひとり,SSI_low,1
ひと時,SSI_high,0
ひと時,SSI_low,1
ひと頑張り,SSI_high,1
ひと頑張り,SSI_low,0
ふう,SSI_high,0
ふう,SSI_low,1
ふり,SSI_high,1
ふり,SSI_low,1
ぶり,SSI_high,1
ぶり,SSI_low,2
ぷらまい,SSI_high,1
ぷらまい,SSI_low,0
ほしい,SSI_high,0
ほしい,SSI_low,4
ほっと,SSI_high,0
ほっと,SSI_low,1
ほんとうに,SSI_high,1
ほんとうに,SSI_low,0
ほんま,SSI_high,0
ほんま,SSI_low,2
まくり,SSI_high,0
まくり,SSI_low,1
まし,SSI_high,0
まし,SSI_low,1
まずい,SSI_high,0
まずい,SSI_low,2
まっしょ,SSI_high,0
まっしょ,SSI_low,1
まとも,SSI_high,0
まとも,SSI_low,2
まま,SSI_high,2
まま,SSI_low,0
みたい,SSI_high,1
みたい,SSI_low,0
みなさま,SSI_high,0
みなさま,SSI_low,1
みんな,SSI_high,4
みんな,SSI_low,6
みんな頑張ってる,SSI_high,1
みんな頑張ってる,SSI_low,0
むなしく,SSI_high,0
むなしく,SSI_low,1
め,SSI_high,1
め,SSI_low,1
めちゃくちゃ,SSI_high,4
めちゃくちゃ,SSI_low,0
めんどくさい,SSI_high,0
めんどくさい,SSI_low,1
ものすごく,SSI_high,1
ものすごく,SSI_low,3
もん,SSI_high,0
もん,SSI_low,1
やさしく,SSI_high,0
やさしく,SSI_low,1
やすい,SSI_high,0
やすい,SSI_low,1
やすく,SSI_high,1
やすく,SSI_low,2
やばい,SSI_high,0
やばい,SSI_low,1
やむなし,SSI_high,1
やむなし,SSI_low,0
やめ,SSI_high,0
やめ,SSI_low,1
ややこしい,SSI_high,0
ややこしい,SSI_low,1
やり方,SSI_high,0
やり方,SSI_low,1
やる気,SSI_high,1
やる気,SSI_low,3
やろう,SSI_high,0
やろう,SSI_low,1
ゆう,SSI_high,1
ゆう,SSI_low,0
ゆえ,SSI_high,0
ゆえ,SSI_low,1
ゆり,SSI_high,1
ゆり,SSI_low,0
ゆるく,SSI_high,0
ゆるく,SSI_low,1
ゆるめ,SSI_high,0
ゆるめ,SSI_low,1
よい,SSI_high,3
よい,SSI_low,2
ようやく,SSI_high,0
ようやく,SSI_low,3
よう気,SSI_high,1
よう気,SSI_low,0
よかっ,SSI_high,5
よかっ,SSI_low,12
よく,SSI_high,1
よく,SSI_low,1
よし,SSI_high,1
よし,SSI_low,1
ら,SSI_high,0
ら,SSI_low,1
らい,SSI_high,0
らい,SSI_low,1
わく,SSI_high,0
わく,SSI_low,1
わけ,SSI_high,2
わけ,SSI_low,1
ん,SSI_high,3
ん,SSI_low,9
アイデア,SSI_high,1
アイデア,SSI_low,1
アイドル,SSI_high,0
アイドル,SSI_low,1
アウトプット,SSI_high,0
アウトプット,SSI_low,1
アクション,SSI_high,1
アクション,SSI_low,1
アコーディア,SSI_high,1
アコーディア,SSI_low,1
アプリ,SSI_high,1
アプリ,SSI_low,2
アホ,SSI_high,0
アホ,SSI_low,1
アポ,SSI_high,0
アポ,SSI_low,1
アポイント,SSI_high,1
アポイント,SSI_low,0
アルコール,SSI_high,0
アルコール,SSI_low,1
イケてる,SSI_high,0
イケてる,SSI_low,1
イチジク,SSI_high,0
イチジク,SSI_low,1
イデオロギー,SSI_high,1
イデオロギー,SSI_low,0
イマイチ,SSI_high,0
イマイチ,SSI_low,2
イメージ,SSI_high,1
イメージ,SSI_low,1
イルランピオーネ,SSI_high,0
イルランピオーネ,SSI_low,1
インタビュー,SSI_high,0
インタビュー,SSI_low,1
インナー,SSI_high,0
インナー,SSI_low,1
インナーモチベーションアップ,SSI_high,0
インナーモチベーションアップ,SSI_low,1
インバウンド,SSI_high,1
インバウンド,SSI_low,0
インプット,SSI_high,1
インプット,SSI_low,1
ウナギ,SSI_high,0
ウナギ,SSI_low,1
エキサイティング,SSI_high,1
エキサイティング,SSI_low,0
エクセル,SSI_high,0
エクセル,SSI_low,1
エスカレート,SSI_high,0
エスカレート,SSI_low,1
エステム,SSI_high,1
エステム,SSI_low,0
エラー,SSI_high,0
エラー,SSI_low,1
オクトーバーフェスト,SSI_high,1
オクトーバーフェスト,SSI_low,0
オリエン,SSI_high,1
オリエン,SSI_low,0
オンライン,SSI_high,2
オンライン,SSI_low,4
オーキッド,SSI_high,0
オーキッド,SSI_low,2
カット,SSI_high,1
カット,SSI_low,0
カピルス,SSI_high,1
カピルス,SSI_low,0
カラオケ,SSI_high,1
カラオケ,SSI_low,0
カラダ,SSI_high,1
カラダ,SSI_low,0
カレー,SSI_high,0
カレー,SSI_low,1
カンパニー,SSI_high,0
カンパニー,SSI_low,1
ガイド,SSI_high,0
ガイド,SSI_low,1
ガスト,SSI_high,1
